native,ADJ Error,ADP Error,AUX Error,DET Error,NOUN Error,PART Error,PRON Error,PROPN Error,VERB Error
Chinese (Mandarin),0.07918196119559517,0.09543786051389617,0.07891976927110644,0.07656004195070792,0.16360776088096488,0.050340849501835344,0.1740954378605139,0.10461457787100158,0.1772417409543786
Russian,0.0838946723821188,0.08879363135333741,0.09338640538885487,0.09154929577464789,0.14696876913655849,0.06889161053276179,0.21524800979791794,0.057256582976117576,0.15401102265768524
Spanish,0.08464939987365762,0.08149084017687934,0.08970309538850284,0.07517372078332281,0.16298168035375868,0.07169930511686672,0.18035375868603917,0.08370183196462413,0.1702463676563487
